id,text
1,Śniadanie podawane jest codziennie w restauracji na parterze w godzinach od 7:00 do 10:00.
2,Doba hotelowa rozpoczyna się o godzinie 15:00 a kończy o godzinie 11:00 następnego dnia.
3,Basen oraz strefa saun są dostępne dla gości bez dodatkowych opłat w godzinach od 8:00 do 22:00.
4,Zwierzęta domowe są akceptowane za dodatkową opłatą wynoszącą 50 PLN za dobę pobytu.
5,Własny parking przed hotelem jest płatny 40 PLN za dzień i nie wymaga wcześniejszej rezerwacji.
6,W całym obiekcie obowiązuje bezwzględny zakaz palenia poza wyznaczonymi do tego strefami zewnętrznymi.
7,Szybkie WiFi jest darmowe i dostępne w całym hotelu pod nazwą sieci Hotel_Guest.
8,Całodobowa recepcja jest do dyspozycji gości w celu zgłaszania wszelkich usterek oraz potrzeb.
9,Usługa późniejszego wymeldowania jest możliwa po konsultacji z recepcją i podlega dodatkowej opłacie.
10,Codzienne sprzątanie pokoi odbywa się w godzinach od 9:00 do 14:00 na życzenie gościa potwierdzone wywieszką na klamce.
11,Kelnerzy mają obowiązek polerowania sztućców wyłącznie przy użyciu białych rękawiczek.
12,Ratownik musi dokonywać pomiaru chloru i temperatury wody w basenie co równe trzy godziny.
13,Terapeuci SPA są zobowiązani do uzupełnienia świeżych ręczników po każdym zakończonym zabiegu.
14,Recepcja musi zweryfikować tożsamość każdego gościa przed wydaniem duplikatu karty do pokoju.
15,Zabrania się wchodzenia do strefy barowej w brudnym obuwiu roboczym lub stroju technicznym.
16,Wszystkie usterki zgłoszone przez gości w pokojach muszą zostać usunięte w ciągu maksymalnie 20 minut.
17,Pracownicy kuchni mają obowiązek opisywania datą i godziną każdej otwartej partii produktów spożywczych.
18,Obsługa pięter musi raportować znalezienie jakichkolwiek przedmiotów wartościowych natychmiast po sprzątaniu pokoju.
19,W strefie saun obowiązuje bezwzględny zakaz używania telefonów komórkowych przez personel i gości.
20,Hotel Bielik znajduje się w Warszawie i jest doskonałą bazą wypadową do centrum miasta.
21,Recepcja udziela informacji o komunikacji miejskiej w Warszawie i najbliższych przystankach.
22,Śniadanie kontynentalne obejmuje pieczywo sery wędliny jajecznicę warzywa owoce i jogurty.
23,Na życzenie gościa dostępne są opcje wegetariańskie wegańskie i bezglutenowe.
24,Menu restauracji zawiera zupę dnia dania z kurczaka dania rybne makarony i sałatki sezonowe.
25,Kolacja serwowana jest codziennie w restauracji hotelowej w godzinach od 17:00 do 22:00.
26,Lobby bar oferuje kawę herbatę soki napoje bezalkoholowe i koktajle autorskie.
27,Pokój można wyposażyć w łóżeczko dziecięce po wcześniejszym zgłoszeniu do recepcji.
28,Dzieci do lat 6 korzystają ze śniadania bezpłatnie pod opieką osoby dorosłej.
29,Goście mogą zamówić room service przez całą noc po wcześniejszym potwierdzeniu dostępności.
30,Minibar w pokoju jest płatny według cennika dostępnego przy recepcji.
31,Butelkowana woda w pokoju jest uzupełniana codziennie bez dodatkowych opłat.
32,W hotelu dostępna jest winda obsługująca wszystkie kondygnacje budynku.
33,Osoby potrzebujące pomocy z bagażem mogą skorzystać z obsługi portierskiej.
34,Przechowalnia bagażu jest dostępna bezpłatnie w dniu przyjazdu i wyjazdu.
35,Hotel oferuje usługę pralni ekspresowej z odbiorem i dostawą do pokoju.
36,Żelazko i deska do prasowania są dostępne na życzenie gościa.
37,Sejf pokojowy służy do przechowywania dokumentów biżuterii i gotówki.
38,Goście powinni zamykać drzwi balkonowe przed opuszczeniem pokoju.
39,Karty do pokoi nie mogą być przekazywane osobom trzecim.
40,Na terenie hotelu obowiązuje cisza nocna od 22:00 do 6:00.
41,Strefa fitness jest otwarta codziennie od 6:00 do 23:00.
42,Wejście do siłowni wymaga obuwia sportowego i ręcznika.
43,Ręczniki basenowe wydawane są przy recepcji spa po okazaniu numeru pokoju.
44,Sauna sucha jest dostępna wyłącznie dla osób powyżej 16 roku życia.
45,Jacuzzi może być używane maksymalnie przez 20 minut jednorazowo.
46,Hotel zapewnia możliwość zamówienia masażu klasycznego relaksacyjnego i sportowego.
47,Rezerwacji zabiegów SPA należy dokonać co najmniej 2 godziny wcześniej.
48,Przed wejściem do basenu należy wziąć prysznic.
49,Goście proszeni są o korzystanie z klapek w strefie mokrej.
50,Na terenie hotelu obowiązuje zakaz używania własnych grzałek i kuchenek.
51,W pokojach nie wolno palić świec ani kadzideł.
52,Okna w pokojach powinny być zamknięte podczas działania klimatyzacji.
53,Klimatyzacja działa od maja do września i może być regulowana z panelu w pokoju.
54,Hotel oferuje usługę budzenia na życzenie gościa.
55,Na życzenie recepcja może zamówić taksówkę lub transfer na lotnisko Chopina.
56,Hotel współpracuje z lokalnymi przewoźnikami oferując transfer do centrum Warszawy.
57,Parking podziemny jest monitorowany i dostępny wyłącznie dla zarejestrowanych gości.
58,Rowery miejskie można wypożyczyć w pobliżu hotelu a recepcja wskaże najbliższą stację.
59,Mapa okolicy z atrakcjami Warszawy dostępna jest w lobby i w aplikacji hotelowej.
60,W pobliżu hotelu znajdują się Stare Miasto Łazienki Królewskie i Muzeum Powstania Warszawskiego.
61,Śniadania pakowane na wynos są dostępne dla gości wyjeżdżających przed godziną 7:00.
62,Prośba o lunch box powinna zostać zgłoszona do recepcji do godziny 20:00 dnia poprzedniego.
63,Płatności w hotelu można dokonywać kartą gotówką oraz BLIK.
64,Faktury wystawiane są na podstawie danych podanych przy meldunku.
65,Goście powinni zgłaszać zmiany numeru rezerwacji przed przyjazdem.
66,Recepcja przechowuje rzeczy znalezione przez okres 30 dni.
67,Zgubione przedmioty można odebrać po uprzednim potwierdzeniu własności.
68,Personel może odmówić wejścia do strefy wellness osobom pod wpływem alkoholu.
